cultiu,seca_regad,ha,parcels
MELÓ,S,0.6259,5
PASTURES DE MENYS DE 5 ANYS,R,13.1045,6
ALBERCOQUER,R,52.538,78
PASTURES DE MENYS DE 5 ANYS,S,51.9242,48
PLANTA ORNAMENTAL,S,2.4881,5
PRÉSSEC PLA,S,0.4937,4
VIVER ARBRE I ARBUST,S,5.8974,16
ALFALS SIE,S,0.5314,1
ALVOCAT,R,5.748,14
ANET,R,0.0461,1
API,S,0.2973,4
ARTEMÍSIA O ESTRAGÓ,R,0.0525,1
BLAT DE MORO,S,1.2751,4
BLAT DE MORO,R,0.6347,1
AMETLLER,R,998.156599999998,1465
CAMELINA,R,4.5418,2
CARBASSÓ,S,0.0998,1
CORIANDRE,S,0.3962,7
ESPECIES AROMÀTIQUES HERBÀCIES,R,44.8714,34
ESPECIES AROMÀTIQUES HERBÀCIES,S,0.9325,4
ESPECIES AROMÀTIQUES LLENYOSES,S,1.4437,5
GUIXES NO SIE O PEDREROL NO SIE,R,0.0216,1
HORTA AUTOCONSUM,S,0.3857,8
LLENTIES NO SIE,R,0.775,1
MARDUIX,R,0.0314,1
MONGETA SIE,S,0.0754,1
MOSTASSA,R,36.2766,17
MOSTASSA,S,0.191,1
VEÇA,R,3.9271,9
ALFALS,R,16.9849,28
ORENGA,R,0.05,1
PEBROT,S,0.166,5
SÀLVIA,R,0.0546,1
REMOLATXA,R,1.4345,7
ROMANÍ,R,0.2418,3
SAFRÀ,S,0.2143,3
SAJOLIDA,R,0.0348,1
VEÇA I CIVADA NO SIE,S,9.6203,13
VEÇA I CIVADA SIE,R,4.9032,1
VEÇA I ORDI NO SIE,S,0.014,1
VECES NO SIE,S,1.5466,3
VECES SIE,R,10.122,4
ALBERCOQUER,S,1.6831,17
ALFALS,S,2.0103,8
BARREJA FARRATGERES,R,2.3447,2
BARREJA FARRATGERES,S,6.6688,9
RAIGRÀS MULTIFLORUM,R,2.3471,2
CEBA I CALÇOT,S,2.9226,33
BRÒCOLI,R,18.1258,10
CACAUET,R,2.3958,2
CAMELINA,S,0.035,1
CARABASSA,S,0.0228,2
CASTANYER,S,1.292,8
CEBA TENDRA,R,4.2085,10
CIGRÓ,R,33.1307,9
CIGRÓ,S,1.0509,1
CIRERER,R,12.6236,35
CIRERER,S,4.2377,19
CODONY,S,0.0455,4
COL-I-FLOR,S,0.0847,1
COL DE BRUSEL·LES,R,5.9782,4
COL XINESA,R,2.0898,2
COLRAVE,R,4.043,4
COTÓ,R,1.8884,2
ESCAROLA,R,19.1269,14
GARLANDA,S,0.6701,2
GUARET BIODIVERSITAT,S,5.158,14
LLENTIA,R,22.8679,8
LLENTIA,S,1.0735,2
MONGETA,R,38.3792,45
NECTARINER,R,2.0792,9
NOGUERA,S,9.7367,29
VINYA,R,114.5117,140
